,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
39,FIBR3.SA,ENBR3.SA,EMBR3.SA,ELPL4.SA,ENEV3.SA,EQTL3.SA,EVEN3.SA,EQTL3.SA,EQTL3.SA,ENBR3.SA,ENBR3.SA
40,GETI4.SA,ENEV3.SA,ENAT3.SA,EMBR3.SA,EQTL3.SA,EVEN3.SA,EZTC3.SA,EZTC3.SA,EZTC3.SA,ENGI11.SA,ENEV3.SA
41,GFSA3.SA,EVEN3.SA,ENBR3.SA,ENBR3.SA,EVEN3.SA,EZTC3.SA,FIBR3.SA,FIBR3.SA,FIBR3.SA,EQTL3.SA,ENGI11.SA
42,GGBR3.SA,FFTL4.SA,ENEV3.SA,ENEV3.SA,EZTC3.SA,FIBR3.SA,GFSA3.SA,FLRY3.SA,FLRY3.SA,EZTC3.SA,EQTL3.SA
43,GGBR4.SA,FIBR3.SA,EVEN3.SA,EQTL3.SA,FIBR3.SA,GETI4.SA,GGBR4.SA,GFSA3.SA,GFSA3.SA,FLRY3.SA,EZTC3.SA
44,GOAU4.SA,GETI4.SA,EZTC3.SA,EVEN3.SA,GETI4.SA,GFSA3.SA,GOAU4.SA,GGBR4.SA,GGBR4.SA,GFSA3.SA,FLRY3.SA
45,GOLL4.SA,GFSA3.SA,FIBR3.SA,EZTC3.SA,GFSA3.SA,GGBR4.SA,GOLL4.SA,GOAU4.SA,GOAU4.SA,GGBR4.SA,GGBR4.SA
46,HYPE3.SA,GGBR3.SA,GETI4.SA,FIBR3.SA,GGBR4.SA,GOAU4.SA,GRND3.SA,GOLL4.SA,GOLL4.SA,GNDI3.SA,GNDI3.SA
47,ITSA4.SA,GGBR4.SA,GFSA3.SA,GETI4.SA,GOAU4.SA,GOLL4.SA,HGTX3.SA,GRND3.SA,HGTX3.SA,GOAU4.SA,GOAU4.SA
48,ITUB4.SA,GOAU4.SA,GGBR4.SA,GFSA3.SA,GOLL4.SA,HGTX3.SA,HYPE3.SA,HGTX3.SA,HYPE3.SA,GOLL4.SA,GOLL4.SA
49,JBSS3.SA,GOLL4.SA,GOAU4.SA,GGBR4.SA,HGTX3.SA,HYPE3.SA,IGTA3.SA,HYPE3.SA,IGTA3.SA,HAPV3.SA,HAPV3.SA
50,JHSF3.SA,HGTX3.SA,GOLL4.SA,GOAU4.SA,HYPE3.SA,IGTA3.SA,ITSA4.SA,IGTA3.SA,IRBR3.SA,HGTX3.SA,HGTX3.SA
51,KEPL3.SA,HYPE3.SA,HGTX3.SA,GOLL4.SA,IGTA3.SA,ITSA4.SA,ITUB4.SA,ITSA4.SA,ITSA4.SA,HYPE3.SA,HYPE3.SA
52,KLBN4.SA,ITSA4.SA,HYPE3.SA,HGTX3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,ITUB4.SA,ITUB4.SA,IGTA3.SA,IGTA3.SA
53,LAME4.SA,ITUB4.SA,ITSA4.SA,HYPE3.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,JBSS3.SA,JBSS3.SA,IRBR3.SA,IRBR3.SA
54,LIGT3.SA,JBSS3.SA,ITUB4.SA,ITSA4.SA,JBSS3.SA,KLBN11.SA,LAME3.SA,KLBN11.SA,KLBN11.SA,ITSA4.SA,ITSA4.SA
55,LREN3.SA,KLBN4.SA,JBSS3.SA,ITUB4.SA,KLBN11.SA,LAME3.SA,LAME4.SA,LAME3.SA,LAME3.SA,ITUB4.SA,ITUB4.SA
56,LUPA3.SA,LAME4.SA,KLBN4.SA,JBSS3.SA,LAME4.SA,LAME4.SA,LIGT3.SA,LAME4.SA,LAME4.SA,JBSS3.SA,JBSS3.SA
57,MAGG3.SA,LIGT3.SA,LAME4.SA,KLBN4.SA,LIGT3.SA,LIGT3.SA,LINX3.SA,LIGT3.SA,LIGT3.SA,KLBN11.SA,KLBN11.SA
58,MMXM3.SA,LREN3.SA,LIGT3.SA,LAME4.SA,LREN3.SA,LREN3.SA,LREN3.SA,LINX3.SA,LINX3.SA,LAME4.SA,LAME4.SA
59,MRFG3.SA,MMXM3.SA,LREN3.SA,LIGT3.SA,MDIA3.SA,MDIA3.SA,MDIA3.SA,LREN3.SA,LREN3.SA,LCAM3.SA,LCAM3.SA
60,MRVE3.SA,MRFG3.SA,MGLU3.SA,LREN3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,MDIA3.SA,MDIA3.SA,LIGT3.SA,LIGT3.SA
61,MULT3.SA,MRVE3.SA,MMXM3.SA,MILS3.SA,MILS3.SA,MILS3.SA,MPLU3.SA,MGLU3.SA,MGLU3.SA,LINX3.SA,LINX3.SA
62,NATU3.SA,MULT3.SA,MPLU3.SA,MMXM3.SA,MMXM3.SA,MPLU3.SA,MRFG3.SA,MPLU3.SA,MRFG3.SA,LREN3.SA,LREN3.SA
63,NETC4.SA,MYPK3.SA,MRFG3.SA,MPLU3.SA,MPLU3.SA,MRFG3.SA,MRVE3.SA,MRFG3.SA,MRVE3.SA,MDIA3.SA,MDIA3.SA
64,OGXP3.SA,NATU3.SA,MRVE3.SA,MRFG3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,MRVE3.SA,MULT3.SA,MGLU3.SA,MGLU3.SA
65,OIBR4.SA,ODPV3.SA,MULT3.SA,MRVE3.SA,MRVE3.SA,MULT3.SA,MYPK3.SA,MULT3.SA,MYPK3.SA,MRFG3.SA,MOVI3.SA
66,PCAR4.SA,OGXP3.SA,MYPK3.SA,MULT3.SA,MULT3.SA,NATU3.SA,NATU3.SA,MYPK3.SA,NATU3.SA,MRVE3.SA,MRFG3.SA
